"","TCGA-05-4244-01A","TCGA-05-4249-01A","TCGA-05-4250-01A","TCGA-05-4382-01A","TCGA-05-4384-01A","TCGA-05-4389-01A","TCGA-05-4390-01A","TCGA-05-4395-01A","TCGA-05-4396-01A","TCGA-05-4397-01A","TCGA-05-4398-01A","TCGA-05-4402-01A","TCGA-05-4403-01A","TCGA-05-4405-01A","TCGA-05-4410-01A","TCGA-05-4415-01A","TCGA-05-4417-01A","TCGA-05-4418-01A","TCGA-05-4420-01A","TCGA-05-4422-01A","TCGA-05-4424-01A","TCGA-05-4425-01A","TCGA-05-4426-01A","TCGA-05-4427-01A","TCGA-05-4430-01A","TCGA-05-4432-01A","TCGA-05-4433-01A","TCGA-05-4434-01A","TCGA-05-5420-01A","TCGA-05-5423-01A","TCGA-05-5425-01A","TCGA-05-5428-01A","TCGA-05-5429-01A","TCGA-05-5715-01A","TCGA-35-3615-01A","TCGA-35-4122-01A","TCGA-35-4123-01A","TCGA-35-5375-01A","TCGA-38-4625-01A","TCGA-38-4626-01A","TCGA-38-4627-01A","TCGA-38-4628-01A","TCGA-38-4629-01A","TCGA-38-4630-01A","TCGA-38-4631-01A","TCGA-38-4632-01A","TCGA-38-6178-01A","TCGA-38-7271-01A","TCGA-38-A44F-01A","TCGA-44-2655-01A"
"KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION",-0.268860238,0.615825718,-0.762373213,-0.41171163,0.555084363,0.021293873,-0.430623094,-0.436635347,0.57878168,-0.390185057,-0.769848892,0.467662324,0.661616889,0.600922005,-0.411782255,-0.583505336,0.219970326,-0.743818211,-0.662263811,0.400569527,-0.583143131,0.546211654,-0.511793522,-0.722473844,-0.39806661,-0.359743122,0.739920777,-0.089824408,0.091040332,0.523705002,0.162338264,-0.170381014,0.274118405,0.755845142,0.551212519,-0.50984905,-0.537518146,-0.073082207,-0.804509576,0.234351944,0.086709195,0.388452784,-0.550302265,-0.616480497,-0.269867866,-0.585401065,-0.651852964,0.422048914,0.763978221,0.702043864
"BIOCARTA_SM_PATHWAY",0.19671924,-0.011106095,0.389612678,-0.585617327,-0.613189931,0.309492333,0.622743814,0.592906675,-0.568049908,0.57331429,-0.067301404,-0.369684674,-0.392087758,-0.640583628,-0.713194123,0.610680723,-0.473460468,0.279821642,0.481808371,-0.520768692,-0.112205905,-0.274392217,-0.531643468,-0.074040632,0.045220041,0.095151405,-0.539465869,-0.147144152,0.413197076,0.148483147,0.57508501,0.558698666,0.40702405,0.050240656,0.408639375,0.418084885,0.424508704,0.584985081,0.60862746,-0.694719798,-0.489057226,0.18709617,0.127979021,0.739335493,0.589019904,0.391540641,-0.492792751,-0.500915715,-0.386794932,0.127339943
"BIOCARTA_MRP_PATHWAY",-0.450842418,-0.020617115,-0.434301639,-0.476288692,0.688340055,0.800340162,-0.054786356,0.399641151,-0.49422607,-0.630296398,-0.422616691,-0.43859302,-0.337674366,-0.311596761,0.133318928,0.141366717,0.034717386,-0.209002112,-0.407303803,0.324622218,-0.380021063,0.14397155,-0.108603166,-0.408698317,-0.41802761,-0.361936393,0.370212372,0.03194081,-0.405420081,-0.451857198,-0.090125836,-0.425052556,0.289422816,-0.579270182,0.512726012,-0.41673616,-0.415355983,0.141805544,-0.713886132,-0.619789695,0.295064469,-0.391656122,-0.500045114,-0.336424941,0.241654128,-0.510721114,-0.091942615,0.449073254,0.408983227,0.437192452
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.07258106,0.214232666,0.481137224,0.082696659,-0.348831295,0.375838819,0.509650835,0.104174559,-0.333479114,0.49393931,0.427324995,0.092276293,-0.045860149,0.475230147,0.082373863,0.335323837,0.236956358,0.001673475,0.167337115,-0.399511085,0.066719266,-0.222024722,0.165427576,0.461364482,0.416018383,0.573086735,-0.36544598,0.403627537,-0.264310329,-0.295303279,0.105962348,-0.259794987,-0.014950702,-0.258333952,-0.367923585,0.535471469,0.504765053,0.062875368,0.284638097,0.130060529,0.282605873,0.275080856,0.474046692,0.488194156,0.443417987,0.142892756,0.123313351,0.213698202,-0.465488524,-0.515318103
"BIOCARTA_TCAPOPTOSIS_PATHWAY",-0.25177931,-0.398326143,0.402164144,0.613564072,-0.582944837,0.635627722,-0.616842675,0.161912605,-0.470231366,-0.539932031,0.238649698,-0.012831451,0.451871505,-0.470246552,0.588466072,-0.235671089,0.752344152,0.456300505,-0.736457563,0.524653146,0.250071891,0.599982278,-0.167793036,-0.16715795,0.197345322,-0.452853913,0.419449843,0.686253272,0.78328369,0.45166388,0.613083739,-0.306485029,-0.491403636,-0.533032434,-0.055501818,0.659265277,0.753233645,0.264866954,0.255667525,0.184730721,0.369425286,-0.772690352,0.515393886,-0.539940428,-0.466825604,0.326963734,-0.651412582,0.812163734,0.621626501,0.199433913
"BIOCARTA_TUBBY_PATHWAY",-0.012359044,0.375398403,-0.854758683,-0.094472547,0.159690402,-0.078986867,-0.653864596,-0.67501837,0.880649526,0.696999452,-0.412197218,0.030431333,-0.016267697,0.660435286,0.69658452,-0.582579315,0.617151722,-0.53166212,-0.524906634,0.553901669,0.438806322,-0.459206581,-0.604928836,0.191377779,0.298507753,-0.039944838,0.086015675,-0.755063562,-0.252008225,-0.598836217,-0.241360052,-0.754803789,-0.612683916,-0.555569424,-0.575313812,-0.532801453,-0.578938212,-0.024176816,-0.753179973,0.226219234,0.404691024,-0.532394724,-0.403788904,0.158971621,-0.63367577,-0.609386609,0.410193956,0.440875379,-0.047765922,-0.524579713
"KEGG_HUNTINGTONS_DISEASE",0.124630708,-0.177240339,0.080347938,-0.324738974,-0.17999409,0.23179188,0.270853713,0.363616621,-0.040756431,0.43534394,0.084870383,0.062103944,0.290680188,-0.457750007,-0.317453611,0.241385612,-0.233151341,0.440836285,0.335002832,0.162748609,-0.250446265,-0.060342326,-0.087558593,-0.312293479,0.205422436,0.168545413,-0.273635655,-0.113213845,0.311502346,0.301999325,0.232323966,0.396943926,0.384859892,0.324807902,0.390560631,0.380521563,0.36332578,0.422283799,0.250357275,-0.230085598,0.072754607,0.444944806,0.282131561,0.117571541,0.346542187,0.333478602,-0.311633646,-0.422680198,-0.175381449,0.344965151
"BIOCARTA_PTC1_PATHWAY",0.508697582,-0.574730535,0.294128343,-0.483541289,-0.404958767,0.32372635,0.16616366,0.373714677,-0.272576743,0.212550883,-0.530842401,-0.245949587,-0.004805476,-0.443361085,-0.546761381,0.437553854,-0.320710377,0.296221008,0.215462378,0.118200063,-0.116366609,0.461122861,-0.152087645,0.178533324,-0.456714791,-0.345344469,0.452683487,0.236811726,0.296920885,0.258523885,0.348997931,0.352373936,0.384226075,-0.606372172,-0.038439101,0.446783561,0.445509531,0.676708838,0.374453683,-0.558488366,-0.450641223,-0.185351467,-0.011386783,0.34169667,0.415578765,0.201179532,-0.243520242,-0.231352937,-0.335957586,-0.253015424
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE",0.28797493,-0.680292568,0.520460725,-0.238512475,-0.665872904,0.302288154,0.384629393,0.266741179,-0.496719117,0.693723813,0.036507777,-0.291070335,-0.672037127,-0.69449654,-0.435003266,0.423966962,-0.424477884,0.050298125,0.617917313,-0.147873738,-0.390258939,0.044169452,-0.359531016,0.065281324,-0.304065968,-0.141976928,-0.278002149,0.288045815,0.474406895,0.222836873,0.391964398,0.541190386,0.418760608,-0.109056088,-0.468583572,0.483243579,0.575374724,0.697782283,0.630938947,-0.716224691,-0.50577629,0.335869188,0.439660668,0.519142391,0.685906044,0.589798366,-0.576952316,-0.623411287,-0.51907747,-0.427954289
"KEGG_MEDICUS_REFERENCE_COHESIN_ACETYLATION",-0.260032749,-0.656637095,-0.051439083,-0.492338956,-0.664521636,-0.358375658,0.297621672,-0.685471493,0.462895831,0.499938035,-0.122993953,-0.6519642,-0.64682559,-0.528631825,-0.361531495,0.681474375,-0.301027341,0.023421696,0.454873411,-0.483342715,-0.213090138,-0.488707584,-0.238957991,0.569611116,-0.785461792,0.013949791,-0.085009112,-0.447424933,-0.105806891,-0.362547368,0.181154298,-0.154820594,-0.24816196,-0.594690412,-0.597676216,-0.422085726,-0.18594858,0.241647407,0.442572006,-0.670305874,-0.648019489,-0.680563418,-0.3840552,0.708681152,0.50930732,-0.219461915,-0.073847413,-0.687971234,-0.62148405,-0.654673357
