"","Module_1","Module_2","Module_3","Module_4","Module_5","Module_6","Module_7","Module_8","Module_9","Module_10","Module_11"
"TCGA-05-4398-01A",-0.349698278480712,-0.296025601672319,-1.302972215988,0.926639174266813,0.918126263053795,0.110329374556284,0.772766661833485,-1.70653189363105,1.7860809307643,1.95762889463787,-1.51570775962585
"TCGA-05-4402-01A",-0.0444414032757324,2.66200977869596,1.18026741563132,-2.17176427627449,1.0180785212961,-0.823729846928355,1.23181047342142,0.468150806934155,-1.17300609699358,-0.327991703805276,0.0769035395267806
"TCGA-05-4403-01A",1.43670352233778,-0.883779611987176,1.87175236508308,-1.51540060740961,1.66835985301172,1.9184828585241,-1.42413163630524,3.3492562008778,-2.05826567203364,-1.32970189009227,2.06607852087823
"TCGA-05-4405-01A",3.73656955487507,2.89490706235139,2.73150939154785,-3.66566046178502,2.429437089269,-1.7720527795054,4.60764000307141,2.86647509505681,-2.11774839785175,0.965388909115966,1.34527520431839
"TCGA-05-4410-01A",3.40555705036308,3.4901656321339,1.86689560062144,-3.48552928021978,2.00335670170911,0.715367229335932,3.65243192770233,1.60340739365815,-0.0282992115455643,-0.351822540701093,0.499877207429517
"TCGA-05-4415-01A",-2.22498940847317,-1.15512249492068,-2.65899059786,1.28522961944307,-1.64556614949319,-1.19346951774661,-0.837755328554273,-2.52719605039158,1.54535365405742,1.5034484913628,-1.67586470397264
"TCGA-05-4417-01A",2.28844493897762,0.777125463581995,0.512638593791981,-2.43939494130474,1.77949369865143,1.21683924442904,2.55788438500245,3.69115701820779,-2.66412171292793,0.356924329692196,2.00015632370598
"TCGA-05-4418-01A",-1.74907931183097,-1.49458356332989,-1.60847761098561,2.7976327023375,-0.781787456817868,1.70466747405238,-3.34596889001022,-0.553640889517848,0.787772937392673,-0.18141177135142,-0.574578428886926
"TCGA-05-4420-01A",-0.602394379892786,-0.968908739231485,-2.61432093608315,2.09823965193884,-1.67572368089565,-3.35370794393488,-2.04549418472642,-1.28744665150741,1.90464364048432,0.773448468031849,-1.08581429742047
"TCGA-05-4422-01A",2.12637772423716,-0.390055558268169,0.587018753285457,-1.28862572340886,-0.0929245080777815,1.63671474540083,-1.26014151368049,0.111867087331725,-0.729774153869758,-2.50174555231118,-0.0567606673473738
